id,name,state,lat,lon,elev_ft,type
KABR,Aberdeen,SD,45.455833,-98.413333,1383,NEXRAD
KABX,Albuquerque,NM,35.149722,-106.82388,5951,NEXRAD
KAKQ,Norfolk Rich,VA,36.98405,-77.007361,255,NEXRAD
KAMA,Amarillo,TX,35.233333,-101.70927,3703,NEXRAD
KAMX,Miami,FL,25.611083,-80.412667,111,NEXRAD
KAPX,Gaylord,MI,44.90635,-84.719533,1561,NEXRAD
KARX,La Crosse,WI,43.822778,-91.191111,1357,NEXRAD
KATX,Seattle,WA,48.194611,-122.49569,642,NEXRAD
KBBX,Beale Afb,CA,39.495639,-121.63161,221,NEXRAD
KBGM,Binghamton,NY,42.199694,-75.984722,1703,NEXRAD
KBHX,Eureka,CA,40.498583,-124.29216,2516,NEXRAD
KBIS,Bismarck,ND,46.770833,-100.76055,1755,NEXRAD
KBLX,Billings,MT,45.853778,-108.60680,3703,NEXRAD
KBMX,Birmingham,AL,33.172417,-86.770167,759,NEXRAD
KBOX,Boston,MA,41.955778,-71.136861,232,NEXRAD
KBRO,Brownsville,TX,25.916,-97.418967,88,NEXRAD
KBUF,Buffalo,NY,42.948789,-78.736781,790,NEXRAD
KBYX,Key West,FL,24.5975,-81.703167,89,NEXRAD
KCAE,Columbia,SC,33.948722,-81.118278,345,NEXRAD
KCBW,Houlton,ME,46.03925,-67.806431,860,NEXRAD
KCBX,Boise,ID,43.490217,-116.23603,3172,NEXRAD
KCCX,State College,PA,40.923167,-78.003722,2486,NEXRAD
KCLE,Cleveland,OH,41.413217,-81.859867,860,NEXRAD
KCLX,Charleston,SC,32.655528,-81.042194,229,NEXRAD
KCRI,Roc Faa Redundant Rda 1,OK,35.238333,-97.46,1315,TEST
KCRP,Corpus Christi,TX,27.784017,-97.51125,142,NEXRAD
KCXX,Burlington,VT,44.511,-73.166431,431,NEXRAD
KCYS,Cheyenne,WY,41.151919,-104.80603,6193,NEXRAD
KDAX,Sacramento,CA,38.501111,-121.67783,144,NEXRAD
KDDC,Dodge City,KS,37.760833,-99.968889,2671,NEXRAD
KDFX,Laughlin Afb,TX,29.273139,-100.28033,1196,NEXRAD
KDGX,Jackson Brandon,MS,32.279944,-89.984444,609,NEXRAD
KDIX,Philadelphia,NJ,39.947089,-74.410731,230,NEXRAD
KDLH,Duluth,MN,46.836944,-92.209722,1542,NEXRAD
KDMX,Des Moines,IA,41.7312,-93.722869,1095,NEXRAD
KDOX,Dover Afb,DE,38.825767,-75.440117,164,NEXRAD
KDTX,Detroit,MI,42.7,-83.471667,1216,NEXRAD
KDVN,Davenport,IA,41.611667,-90.580833,851,NEXRAD
KDYX,Dyess Afb,TX,32.5385,-99.254333,1582,NEXRAD
KEAX,Kansas City,MO,38.81025,-94.264472,1092,NEXRAD
KEMX,Tucson,AZ,31.89365,-110.63025,5319,NEXRAD
KENX,Albany,NY,42.586556,-74.064083,1935,NEXRAD
KEOX,Fort Rucker,AL,31.460556,-85.459389,537,NEXRAD
KEPZ,El Paso,NM,31.873056,-106.698,4218,NEXRAD
KESX,Las Vegas,NV,35.70135,-114.89165,4948,NEXRAD
KEVX,Eglin Afb,FL,30.565033,-85.921667,221,NEXRAD
KEWX,Austin San Antonio,TX,29.704056,-98.028611,767,NEXRAD
KEYX,Edwards,CA,35.09785,-117.56075,2873,NEXRAD
KFCX,Roanoke,VA,37.0244,-80.273969,2965,NEXRAD
KFDR,Altus Afb,OK,34.362194,-98.976667,1315,NEXRAD
KFDX,Cannon Afb,NM,34.634167,-103.61888,4698,NEXRAD
KFFC,Atlanta,GA,33.36355,-84.56595,972,NEXRAD
KFSD,Sioux Falls,SD,43.587778,-96.729444,1495,NEXRAD
KFSX,Flagstaff,AZ,34.574333,-111.19844,7514,NEXRAD
KFTG,Denver Front Range Ap,CO,39.786639,-104.54580,5611,NEXRAD
KFWS,Dallas,TX,32.573,-97.30315,777,NEXRAD
KGGW,Glasgow,MT,48.206361,-106.62469,2384,NEXRAD
KGJX,Grand Junction,CO,39.062169,-108.21376,10101,NEXRAD
KGLD,Goodland,KS,39.366944,-101.70027,3716,NEXRAD
KGRB,Green Bay,WI,44.498633,-88.111111,823,NEXRAD
KGRK,Fort Hood,TX,30.721833,-97.382944,603,NEXRAD
KGRR,Grand Rapids,MI,42.893889,-85.544889,875,NEXRAD
KGSP,Greer,SC,34.883306,-82.219833,1069,NEXRAD
KGWX,Columbus Afb,MS,33.896917,-88.329194,590,NEXRAD
KGYX,Portland,ME,43.891306,-70.256361,474,NEXRAD
KHDC,Hammond Municipal Airport,LA,30.5193,-90.4074,43,NEXRAD
KHDX,Holloman Afb,NM,33.077,-106.12003,4270,NEXRAD
KHGX,Houston,TX,29.4719,-95.078733,115,NEXRAD
KHNX,San Joaquin Valley,CA,36.314181,-119.63213,340,NEXRAD
KHPX,Fort Campbell,KY,36.736972,-87.285583,613,NEXRAD
KHTX,Huntsville,AL,34.930556,-86.083611,1859,NEXRAD
KICT,Wichita,KS,37.654444,-97.443056,1400,NEXRAD
KICX,Cedar City,UT,37.59105,-112.86218,10757,NEXRAD
KILN,Cincinnati,OH,39.420483,-83.82145,1170,NEXRAD
KILX,Lincoln,IL,40.1505,-89.336792,731,NEXRAD
KIND,Indianapolis,IN,39.7075,-86.280278,887,NEXRAD
KINX,Tulsa,OK,36.175131,-95.564161,749,NEXRAD
