kind,geoid,name,qualified_name,state,state_name,west,south,east,north
state,01,Alabama,Alabama,AL,Alabama,-88.473227,30.223334,-84.889080,35.008028
state,02,Alaska,Alaska,AK,Alaska,-179.146711,51.215567,179.778470,71.387815
state,04,Arizona,Arizona,AZ,Arizona,-114.816510,31.332177,-109.045223,37.004260
state,05,Arkansas,Arkansas,AR,Arkansas,-94.617919,33.004291,-89.641003,36.499600
state,06,California,California,CA,California,-124.409591,32.534435,-114.131211,42.009485
state,08,Colorado,Colorado,CO,Colorado,-109.060253,36.992426,-102.041524,41.003444
state,09,Connecticut,Connecticut,CT,Connecticut,-73.727775,40.980144,-71.786994,42.050587
state,10,Delaware,Delaware,DE,Delaware,-75.788658,38.451196,-75.048939,39.839007
state,11,District of Columbia,District of Columbia,DC,District of Columbia,-77.119759,38.791645,-76.909395,38.995110
state,12,Florida,Florida,FL,Florida,-87.634938,24.521304,-80.031362,31.000888
state,13,Georgia,Georgia,GA,Georgia,-85.605165,30.357851,-80.840378,35.001244
state,15,Hawaii,Hawaii,HI,Hawaii,-178.334698,18.910361,-154.806773,28.402123
state,16,Idaho,Idaho,ID,Idaho,-117.243027,41.988209,-111.043564,49.000911
state,17,Illinois,Illinois,IL,Illinois,-91.513079,36.970298,-87.495199,42.508481
state,18,Indiana,Indiana,IN,Indiana,-88.097892,37.771742,-84.784579,41.760592
state,19,Iowa,Iowa,IA,Iowa,-96.638621,40.375659,-90.140061,43.501196
state,20,Kansas,Kansas,KS,Kansas,-102.051744,36.993016,-94.588413,40.003162
state,21,Kentucky,Kentucky,KY,Kentucky,-89.571509,36.497129,-81.964971,39.147458
state,22,Louisiana,Louisiana,LA,Louisiana,-94.043147,28.928609,-88.817017,33.019457
state,23,Maine,Maine,ME,Maine,-71.083924,42.977764,-66.949895,47.459686
state,24,Maryland,Maryland,MD,Maryland,-79.487651,37.911717,-75.048939,39.723043
state,25,Massachusetts,Massachusetts,MA,Massachusetts,-73.508142,41.237964,-69.928393,42.886589
state,26,Michigan,Michigan,MI,Michigan,-90.418136,41.696118,-82.413474,48.238800
state,27,Minnesota,Minnesota,MN,Minnesota,-97.239209,43.499369,-89.493977,49.384358
state,28,Mississippi,Mississippi,MS,Mississippi,-91.655009,30.175372,-88.097888,34.996052
state,29,Missouri,Missouri,MO,Missouri,-95.774704,35.995683,-89.098843,40.613640
state,30,Montana,Montana,MT,Montana,-116.049155,44.357962,-104.039563,49.001390
state,31,Nebraska,Nebraska,NE,Nebraska,-104.053514,39.999998,-95.308290,43.001708
state,32,Nevada,Nevada,NV,Nevada,-120.006455,35.001857,-114.039648,42.002207
state,33,New Hampshire,New Hampshire,NH,New Hampshire,-72.557247,42.696990,-70.610621,45.305476
state,34,New Jersey,New Jersey,NJ,New Jersey,-75.559537,38.928519,-73.893628,41.357423
state,35,New Mexico,New Mexico,NM,New Mexico,-109.050173,31.332301,-103.001964,37.000232
state,36,New York,New York,NY,New York,-79.762152,40.496103,-71.856483,45.015850
state,37,North Carolina,North Carolina,NC,North Carolina,-84.321869,33.842316,-75.460621,36.588117
state,38,North Dakota,North Dakota,ND,North Dakota,-104.048900,45.935054,-96.554507,49.000574
state,39,Ohio,Ohio,OH,Ohio,-84.820157,38.403202,-80.518693,41.977164
state,40,Oklahoma,Oklahoma,OK,Oklahoma,-103.002565,33.615833,-94.430662,37.002206
state,41,Oregon,Oregon,OR,Oregon,-124.566244,41.991794,-116.463504,46.290834
state,42,Pennsylvania,Pennsylvania,PA,Pennsylvania,-80.519891,39.719800,-74.689516,42.269860
state,44,Rhode Island,Rhode Island,RI,Rhode Island,-71.862772,41.146339,-71.120570,42.018798
state,45,South Carolina,South Carolina,SC,South Carolina,-83.353910,32.037593,-78.547324,35.215402
state,46,South Dakota,South Dakota,SD,South Dakota,-104.057879,42.479635,-96.436589,45.945450
state,47,Tennessee,Tennessee,TN,Tennessee,-90.310453,34.982972,-81.646900,36.678118
state,48,Texas,Texas,TX,Texas,-106.645646,25.837377,-93.508292,36.500704
state,49,Utah,Utah,UT,Utah,-114.052962,36.997968,-109.041058,42.001702
state,50,Vermont,Vermont,VT,Vermont,-73.437740,42.726853,-71.464555,45.016659
state,51,Virginia,Virginia,VA,Virginia,-83.675395,36.540738,-75.242469,39.466012
state,53,Washington,Washington,WA,Washington,-124.763068,45.543541,-116.915989,49.002494
state,54,West Virginia,West Virginia,WV,West Virginia,-82.644739,37.201483,-77.719519,40.638801
state,55,Wisconsin,Wisconsin,WI,Wisconsin,-92.888114,42.491983,-86.805415,47.080621
state,56,Wyoming,Wyoming,WY,Wyoming,-111.054556,40.994746,-104.052160,45.005815
state,60,American Samoa,American Samoa,AS,American Samoa,-171.089874,-14.548699,-168.143300,-11.046934
state,66,Guam,Guam,GU,Guam,144.618068,13.234189,144.956712,13.654383
state,69,Commonwealth of the Northern Mariana Islands,Commonwealth of the Northern Mariana Islands,MP,Commonwealth of the Northern Mariana Islands,144.886369,14.110472,146.064525,20.553247
state,72,Puerto Rico,Puerto Rico,PR,Puerto Rico,-67.945404,17.883280,-65.221077,18.516023
state,78,United States Virgin Islands,United States Virgin Islands,VI,United States Virgin Islands,-65.085362,17.674678,-64.565594,18.415815
county,01001,Autauga,Autauga County,AL,Alabama,-86.921196,32.307574,-86.411172,32.708213
county,01003,Baldwin,Baldwin County,AL,Alabama,-88.028580,30.223334,-87.366591,31.319007
county,01005,Barbour,Barbour County,AL,Alabama,-85.748251,31.617747,-85.049310,32.148251
county,01007,Bibb,Bibb County,AL,Alabama,-87.421989,32.831522,-86.876118,33.246907
county,01009,Blount,Blount County,AL,Alabama,-86.963358,33.765191,-86.303516,34.260170
county,01011,Bullock,Bullock County,AL,Alabama,-85.999157,31.880275,-85.410042,32.305225
county,01013,Butler,Butler County,AL,Alabama,-86.908939,31.523683,-86.438341,31.964629
county,01015,Calhoun,Calhoun County,AL,Alabama,-86.146225,33.556075,-85.529432,33.968460
county,01017,Chambers,Chambers County,AL,Alabama,-85.593638,32.728530,-85.122189,33.109032
county,01019,Cherokee,Cherokee County,AL,Alabama,-85.843875,33.941423,-85.398837,34.526255
county,01021,Chilton,Chilton County,AL,Alabama,-87.019157,32.660117,-86.371151,33.071861
